Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,N,dN,L,dL,kappa,dkappa,d,dd,visc,dvisc
Porpostoma notatum,107.7,-,29,-,1842.2,258.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prorodon teres,175,-,160,-,1066,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Protoopalina sp.,315,-,92.4,-,-,-,24.07,3.53,-,-,-,-,-,-,15.1,-,-,-,-,-,-,-
Spathidium spathula,204.5,32.5,32,11,526,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spirostomum ambiguum,1045,95,95,-,810,-,8.5,-,30,-,255,-,-,-,8.2,-,-,-,-,-,-,-
Spirostomum sp.,1000,-,130,-,1000,-,-,-,-,-,-,-,100000,-,12,-,0.2,-,-,-,-,-
Spirostomum teres,450,150,55,5,640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stenosemella steinii,83,-,58,-,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stentor coeruleus,528.5,108.5,223.5,84.5,1500,-,-,-,34,8,-,-,-,-,-,-,-,-,-,-,-,-
Stentor polymorphus,208,-,83.6,68.4,887,70,13,-,33,-,760,-,-,-,27.5,-,-,-,-,-,-,-
Stentor sp.,1100,900,532.3,501.4,-,-,22.43,2.11,26.73,7.45,577.4,140.7,50,10,30,-,-,-,-,-,2.28,1.28
Strobilidium spiralis,60,-,50,-,330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strobilidium velox,43,9,20.81,10.6,150,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strombidinopsis acuminatum,80,-,30,-,390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strombidium claparedi,69.5,5.5,43,-,3740,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strombidium conicum,75,-,43,-,570,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strombidium sp.,33,-,25,-,360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Strombidium sulcatum,32.5,2.5,22.5,2.5,995,522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stylonichia sp.,167,-,86,-,737.5,262.5,34,6,47.5,11.5,1615,483.845,270,126,50,-,-,-,4.5,-,-,-
