Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,Om,dOm,N,dN,L,dL,nwav,dnwav,h,dh,visc,dvisc
Gyrodinium dorsum,37.5,4.1,31.3,3,324,43.8,-,-,-,-,-,-,1.91,0.41,2,-,-,-,-,-,-,-,-,-
Gyrodinium dorsum,34.5,-,24.5,-,148.35,-,-,-,-,-,-,-,8.2,-,1,-,-,-,-,-,-,-,-,-
Hemidinium nasutum,27.2,2.8,17.6,2.4,105.6,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Hemiselmis simplex,5.25,1.25,3,-,325,125,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Heterocapsa pygmea,13.5,1.5,10.02,0.74,102.35,13.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heterocapsa rotundata,12.5,2.5,7.5,2.5,323,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heterocapsa triquetra,17,-,-,-,97,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Heteromastix pyriformis,6,1,-,-,87.5,12.5,-,-,-,-,-,-,-,-,2,-,21.25,13.75,-,-,-,-,-,-
Hymenomonas carterae,12.5,2.5,-,-,87,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Katodinium rotundatum,10.75,3.25,7,1,425,125,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Leishmania major,12.5,0.3,-,-,36.4,2,11.9,0.3,24.5,0.8,291,4,-,-,1,-,16.4,0.6,0.91,-,2.9,0.07,-,-
Menoidium cultellus,45,-,7,-,136.75,56.75,10,2,17,3,170,45.34,1.00,0.00,1,-,10,-,1,-,3,0.5,-,-
Menoidium incurvum,25,1,-,-,50,-,-,-,12,-,312,-,-,-,1,-,25,1,1,-,-,-,-,-
Micromonas pusilla,2,1,-,-,58.5,41.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monas stigmata,6,-,-,-,269,-,-,-,47.75,-,-,-,-,-,2,-,9,6,-,-,-,-,-,-
Monostroma angicava,6.695,0.885,3.33,0.4,170.55,12.15,-,-,-,-,-,-,-,-,2,-,13.685,0.645,-,-,-,-,1.52,-
Nephroselmis pyriformis,4.75,0.25,-,-,163.5,25.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oblea rotunda,20,-,20,-,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ochromonas danica,8.71,2.04,5.6,0.1,77,2,4.5,0.2,59,2,265.5,14.84,-,-,-,-,-,-,-,-,0.96,0.12,1,-
Ochromonas malhamensis,3,-,-,-,57.5,2.5,7,-,68.44,-,479.08,-,-,-,1,-,-,-,2.8,-,1,-,-,-
Ochromonas minima,5,1.5,-,-,75,-,-,-,-,-,-,-,-,-,2,-,1.5,0.5,-,-,-,-,-,-
Olisthodiscus luteus,22.5,7.5,-,-,90,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oxyrrhis marina,39.5,11.3,-,-,300,134,-,-,-,-,-,-,9.3,-,2,-,-,-,-,-,-,-,-,-
Paragymnodinium shiwhaense,10.9,0.4,8.6,0.3,571,-,-,0.15,-,-,-,-,-,-,2,-,10.12,-,-,-,-,0.55,-,-
Paraphysomonas vestita,14.7,-,-,-,116.85,49.15,-,-,64,19,-,-,-,-,-,-,-,-,2,-,2.15,0.95,-,-
Pavlova lutheri,6.5,1.5,-,-,126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peranema trichophorum,45,25,12,-,20,-,-,-,5.5,0.5,202.5,2.5,-,-,1.5,0.5,70,30,-,-,-,-,-,-
Peridinium bipes,42.9,-,37,-,291,-,-,-,-,-,-,-,4.99,-,-,-,-,-,-,-,-,-,-,-
Peridinium cf. quinquecorne,19,3,-,-,1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium cinctum,47.5,7.5,44,-,120,80,-,-,-,-,-,-,0.83,-,-,-,-,-,-,-,-,-,-,-
Peridinium claudicans,77.5,27.5,61.5,13.5,229,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium crassipes,102,-,77,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium foliaceum,30.6,3.3,30.6,3.3,185.2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
Peridinium gregarium,32.5,2.5,32.5,2.5,1291.7,513.9,-,-,-,-,-,-,-,-,2,-,200,-,-,-,-,-,-,-
Peridinium ovatum,61,7,-,-,187.5,62.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium penardii,28.8,3.7,-,-,417,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium pentagonum,92.5,17.5,87.5,22.5,266.5,66.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium subinerme,50,10,45,5,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium trochoideum,25,5,19,4,53,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peridinium umbonatum,30,5,25.5,4.5,250,-,-,-,-,-,-,-,1.67,-,-,-,-,-,-,-,-,-,-,-
Phaeocystis pouchetii,6.25,1.75,6.25,1.75,88,67,-,-,-,-,-,-,-,-,2,-,9.375,2.625,-,-,-,-,-,-
Polytoma uvella,22.5,7.5,14.5,5.5,100.9,26.1,15,-,11.758,2.85,176.37,42.75,3.5,0.5,2,-,27,12,-,-,2.9,-,-,-
Polytomella agilis,12.4,2.6,6.95,2.05,150,70,-,-,20,13,270,180,-,-,4,-,8.5,0.5,-,-,-,-,-,-
Poteriodendron sp.,-,-,-,-,-,-,4,-,40,-,-,-,-,-,-,-,35,-,-,-,2,-,-,-
Prorocentrum mariae-lebouriae,14.8,1.7,14.8,1.7,141.05,58.05,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
Prorocentrum micans ,45,5,-,-,329.1,281.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prorocentrum minimum,15.1,0.3,11.8,0.8,107.7,54.6,12.22,0.81,65.9,9.4,805.3,126.7,1.12,0.23,2,-,-,-,-,-,1.31,0.2,-,-
Prorocentrum redfieldii,33.2,-,10.28,-,333.3,-,-,-,-,-,-,-,-,-,-,-,13.5,-,-,-,-,-,-,-
Protoperidinium depressum,132,-,116,-,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Protoperidinium granii ,57.5,22.5,40.5,15.5,86.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Protoperidinium pacificum,54,-,50,-,410,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prymnesium parvum,7.2,0.3,5.4,0.5,30,-,-,-,40,-,-,-,-,-,2,-,10,-,-,-,-,-,-,-
Prymnesium polylepis,9.1,0.8,6.8,0.4,45,-,13.4,2.4,33.3,-,446.22,79.92,-,-,2,-,28,-,1.5,0.5,2.15,0.25,-,-
Pseudopedinella pyriformis,6.5,1.5,-,-,100,10,-,-,-,-,-,-,-,-,1,-,27.5,12.5,-,-,-,-,-,-
Pseudoscourfieldia marina,4.1,0.9,-,-,42,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pteridomonas danica,5.54,-,-,-,179.45,58.65,13,1.5,30,4,390,68.77,-,-,-,-,-,-,-,-,2.2,0.5,-,-
Pyramimonas amylifera,24.5,6.5,-,-,22.5,2.5,-,-,-,-,-,-,-,-,6,2,36.75,9.75,-,-,-,-,-,-
Pyramimonas cf. disomata,9,3,4.5,0.5,355,65,-,-,-,-,-,-,-,-,4,-,8,-,-,-,-,-,-,-
Rhabdomonas spiralis,27,13,10,-,120,20,15,3,25,5,375,106.07,1.40,-,1,-,-,-,1,-,3.5,0.5,-,-
Rhodomonas salina,14.5,2.5,6,-,588.5,451.5,-,-,-,-,-,-,-,-,2,-,10.15,1.75,-,-,-,-,-,-
Scrippsiella trochoidea,25.3,2.4,19.9,2.1,87.6,65.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spumella sp.,10,-,-,-,25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Teleaulax sp.,13.5,1.5,-,-,98,45,-,-,-,-,-,-,-,-,2,-,8.1,0.9,-,-,-,-,-,-
Tetraflagellochloris mauritanica,4,1,2.25,0.25,300,35,-,-,10,1,-,-,-,-,4,-,23.5,12.5,-,-,-,-,-,-
Trachelomonas volvocina,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-
Tritrichomonas foetus,14.63,1.3,6.73,1,-,-,-,-,-,-,-,-,-,-,4,-,12.33,1.44,-,-,-,-,1,-
Trypanosoma brucei,18.755,7.245,2.315,1.285,20.5,17.5,4.65,2.85,19,-,105,38,9.5,1.5,1,-,14.22,5.18,1.5,0.5,1.75,0.75,-,-
Trypanosoma congolense,18,7,2.75,0.95,9.7,5,5.55,0.29,7.5,1.5,41.625,8.60,-,-,1,-,11.615,1.145,1.5,0.5,0.73,0.09,-,-
Trypanosoma cruzi,20,-,2,-,172,132,3.5,-,18.5,4.5,64.75,15.75,-,-,1,-,-,-,3,-,0.5,-,-,-
Trypanosoma evansi,21.5,2.5,2.9,0.8,16.1,5.5,9.4,-,15,-,141,-,-,-,1,-,18.84,-,1.5,0.5,1.8,-,-,-
Trypanosoma vivax,23.5,5.5,2.6,0.6,29.5,19.4,10.2,-,21,8,214.2,81.6,-,-,1,-,19.4,-,1.5,0.5,2.8,-,-,-
